time,open,high,low,close,Volume,Volume MA
1509660000,73.56,73.56,73.56,73.56,0,0
1509922800,75.605,75.605,75.605,75.605,0,0
1510009200,75.445,75.445,75.445,75.445,0,0
1510095600,75.221,75.221,75.221,75.221,0,0
1510182000,75.573,75.573,75.573,75.573,0,0
1510268400,75.613,75.613,75.613,75.613,0,0
1510527600,75.46,75.46,75.46,75.46,0,0
1510614000,74.224,74.224,74.224,74.224,0,0
1510700400,73.397,73.397,73.397,73.397,0,0
1510786800,72.75,72.75,72.75,72.75,0,0
1510873200,74.014,74.014,74.014,74.014,0,0
1511132400,73.578,73.578,73.578,73.578,0,0
1511218800,74.705,74.705,74.705,74.705,0,0
1511305200,74.594,74.594,74.594,74.594,0,0
1511478000,75.629,75.629,75.629,75.629,0,0
1511737200,75.998,75.998,75.998,75.998,0,0
1511823600,75.452,75.452,75.452,75.452,0,0
1511910000,74.274,74.274,74.274,74.274,0,0
1511996400,73.959,73.959,73.959,73.959,0,0
1512082800,74.729,74.729,74.729,74.729,0,0
1512342000,73.337,73.337,73.337,73.337,0,0
1512428400,74.258,74.258,74.258,74.258,0,0
1512514800,72.523,72.523,72.523,72.523,0,0
1512601200,74.071,74.071,74.071,74.071,0,0
1512687600,74.694,74.694,74.694,74.694,0,0
1512946800,75.617,75.617,75.617,75.617,0,0
1513033200,74.63,74.63,74.63,74.63,0,0
1513119600,73.141,73.141,73.141,73.141,0,0
1513206000,74.094,74.094,74.094,74.094,0,0
1513292400,73.756,73.756,73.756,73.756,0,0
1513551600,74.62,74.62,74.62,74.62,0,0
1513638000,75.338,75.338,75.338,75.338,0,0
1513724400,75.509,75.509,75.509,75.509,0,0
1513810800,75.73,75.73,75.73,75.73,0,0
1513897200,76.092,76.092,76.092,76.092,0,0
1514242800,77.177,77.177,77.177,77.177,0,0
1514329200,76.794,76.794,76.794,76.794,0,0
1514415600,76.837,76.837,76.837,76.837,0,0
1514502000,76.918,76.918,76.918,76.918,0,0
1514847600,76.013,76.013,76.013,76.013,0,0
1514934000,77.536,77.536,77.536,77.536,0,0
1515020400,78.12,78.12,78.12,78.12,0,0
1515106800,77.182,77.182,77.182,77.182,0,0
1515366000,77.613,77.613,77.613,77.613,0,0
1515452400,79.278,79.278,79.278,79.278,0,0
1515538800,79.6,79.6,79.6,79.6,0,0
1515625200,79.32,79.32,79.32,79.32,0,0
1515711600,79.708,79.708,79.708,79.708,0,0
1516057200,78.885,78.885,78.885,78.885,0,0
1516143600,79.435,79.435,79.435,79.435,0,0
1516230000,80.044,80.044,80.044,80.044,0,0
1516316400,79.068,79.068,79.068,79.068,0,0
1516575600,79.794,79.794,79.794,79.794,0,0
1516662000,80.572,80.572,80.572,80.572,0,0
1516748400,81.229,81.229,81.229,81.229,0,0
1516834800,81.014,81.014,81.014,81.014,0,0
1516921200,82.132,82.132,82.132,82.132,0,0
1517180400,81.354,81.354,81.354,81.354,0,0
1517266800,79.88,79.88,79.88,79.88,0,0
1517353200,81.348,81.348,81.348,81.348,0,0
1517439600,81.948,81.948,81.948,81.948,0,0
1517526000,81.181,81.181,81.181,81.181,0,0
1517785200,79.493,79.493,79.493,79.493,0,0
1517871600,78.292,78.292,78.292,78.292,0,0
1517958000,76.62,76.62,76.62,76.62,0,0
1518044400,76.238,76.238,76.238,76.238,0,0
1518130800,73.885,73.885,73.885,73.885,0,0
1518390000,73.067,73.067,73.067,73.067,0,0
1518476400,73.023,73.023,73.023,73.023,0,0
1518562800,74.192,74.192,74.192,74.192,0,0
1518649200,74.81,74.81,74.81,74.81,0,0
1518735600,75.246,75.246,75.246,75.246,0,0
1519081200,75.631,75.631,75.478,75.478,0,0
1519167600,76.02,76.02,76.02,76.02,0,0
1519254000,76.347,76.347,76.347,76.347,0,0
1519340400,77.58,77.58,77.58,77.58,0,0
1519599600,78.021,78.021,78.021,78.021,0,0
1519686000,77.848,77.848,77.848,77.848,0,0
1519772400,76.2,76.2,76.2,76.2,0,0
1519858800,75.359,75.359,75.359,75.359,0,0
1519945200,75.979,75.979,75.979,75.979,0,0
1520204400,77.038,77.038,77.038,77.038,0,0
1520290800,76.767,76.767,76.767,76.767,0,0
1520377200,75.283,75.283,75.283,75.283,0,0
1520463600,73.84,73.84,73.84,73.84,0,0
1520550000,75.796,75.796,75.796,75.796,0,0
1520805600,75.515,75.515,75.515,75.515,0,0
1520892000,75.18,75.18,75.18,75.18,0,0
1520978400,76.15,76.15,76.15,76.15,0,0
1521064800,76.265,76.265,76.265,76.265,0,0
1521151200,77.465,77.465,77.465,77.465,0,0
1521410400,76.757,76.757,76.757,76.757,0,0
1521496800,78.165,78.165,78.165,78.165,0,0
1521583200,80.087,80.087,80.087,80.087,200,10
1521669600,79.764,79.764,79.764,79.764,0,10
